"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0006334"	12	"nucleosome assembly"	"The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA."	"YBR009C,YDR440W,YGL207W,YGR116W,YJL115W,YKR048C,YLL022C,YLR449W,YML074C,YML102W,YNL246W,YPR018W"
"GO:0006335"	4	"DNA replication-dependent chromatin assembly"	"The formation of nucleosomes on newly replicated DNA, coupled to strand elongation."	"YBR195C,YJL115W,YML102W,YPR018W"
"GO:0006337"	19	"nucleosome disassembly"	"The controlled breakdown of nucleosomes, the beadlike structural units of eukaryotic chromatin composed of histones and DNA."	"YBL006C,YCR020W-B,YCR052W,YDR303C,YFR037C,YGR056W,YGR275W,YHR056C,YIL126W,YJL115W,YKR008W,YKR048C,YLR033W,YLR321C,YLR357W,YML127W,YMR033W,YMR091C,YPR034W"
"GO:0006338"	110	"chromatin remodeling"	"A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication."	"YAL011W,YAL019W,YAL034C,YBL008W,YBL009W,YBR089C-A,YBR112C,YBR133C,YBR195C,YBR231C,YBR245C,YBR258C,YBR289W,YCR052W,YDL014W,YDL070W,YDL106C,YDR096W,YDR121W,YDR174W,YDR176W,YDR190C,YDR207C,YDR295C,YDR303C,YDR334W,YDR448W,YDR485C,YEL044W,YEL056W,YEL066W,YER030W,YER051W,YER164W,YER169W,YFL024C,YFR013W,YGL021W,YGL048C,YGL066W,YGL150C,YGL163C,YGL194C,YGR002C,YGR056W,YGR116W,YGR252W,YGR274C,YGR275W,YHL007C,YHL025W,YHR090C,YHR099W,YIL112W,YIL126W,YIL131C,YJL081C,YJL105W,YJL168C,YJL176C,YJR060W,YJR082C,YJR119C,YKL033W,YKL062W,YKL112W,YKR008W,YLR033W,YLR085C,YLR095C,YLR321C,YLR357W,YLR385C,YLR399C,YML041C,YML127W,YMR033W,YMR037C,YMR044W,YMR176W,YMR265C,YNL021W,YNL059C,YNL068C,YNL107W,YNL215W,YOL012C,YOR023C,YOR038C,YOR064C,YOR141C,YOR191W,YOR213C,YOR229W,YOR230W,YOR290C,YOR304W,YOR338W,YPL086C,YPL116W,YPL129W,YPL139C,YPL184C,YPL235W,YPR031W,YPR034W,YPR052C,YPR068C,YPR179C,YPR193C"
"GO:0006351"	61	"transcription, DNA-templated"	"The cellular synthesis of RNA on a template of DNA."	"YBL005W,YBL008W,YBL066C,YBR150C,YBR154C,YBR297W,YDL140C,YDR045C,YDR311W,YDR404C,YER184C,YFL036W,YGL013C,YGL043W,YGL070C,YGL150C,YGL166W,YHR143W-A,YHR178W,YIL021W,YIL130W,YIR023W,YJL206C,YJR063W,YJR127C,YKL005C,YKL144C,YKL222C,YKR025W,YLR005W,YLR014C,YLR098C,YLR256W,YLR266C,YLR278C,YMR021C,YMR280C,YNL113W,YNR063W,YOL005C,YOL089C,YOR038C,YOR083W,YOR116C,YOR151C,YOR207C,YOR210W,YOR224C,YOR337W,YOR340C,YOR341W,YOR380W,YPL248C,YPR008W,YPR010C,YPR022C,YPR025C,YPR070W,YPR110C,YPR187W,YPR190C"
"GO:0006352"	12	"DNA-templated transcription, initiation"	"Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription."	"YDR145W,YDR167W,YDR404C,YER148W,YGR246C,YJL011C,YJL140W,YKL028W,YKL144C,YMR236W,YOR340C,YPR086W"
"GO:0006353"	13	"DNA-templated transcription, termination"	"The cellular process that completes DNA-templated transcription; the formation of phosphodiester bonds ceases, the RNA-DNA hybrid dissociates, and RNA polymerase releases the DNA."	"YBR121C,YBR143C,YBR279W,YDR228C,YGL058W,YGL244W,YGL246C,YJL168C,YLR226W,YLR430W,YOL145C,YOR048C,YOR123C"
"GO:0006354"	3	"DNA-templated transcription, elongation"	"The extension of an RNA molecule after transcription initiation and promoter clearance at a DNA-dependent RNA polymerase promoter by the addition of ribonucleotides catalyzed by an RNA polymerase."	"YBR245C,YJL168C,YOR244W"
"GO:0006355"	166	"regulation of transcription, DNA-templated"	"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."	"YAL051W,YAR003W,YAR014C,YBL005W,YBL008W,YBL021C,YBL052C,YBL054W,YBL066C,YBR033W,YBR049C,YBR083W,YBR103W,YBR133C,YBR150C,YBR195C,YBR239C,YBR240C,YBR245C,YBR297W,YCR018C,YCR033W,YCR065W,YCR097W,YCR106W,YDL106C,YDL165W,YDL170W,YDR026C,YDR034C,YDR207C,YDR296W,YDR303C,YDR423C,YDR448W,YDR520C,YEL009C,YEL055C,YEL056W,YER040W,YER045C,YER064C,YER069W,YER184C,YFL021W,YFL031W,YFL044C,YFL052W,YFR037C,YGL013C,YGL073W,YGL127C,YGL131C,YGL166W,YGL194C,YGL237C,YGR063C,YGR288W,YHL009C,YHR056C,YHR084W,YHR090C,YHR099W,YHR124W,YHR178W,YHR206W,YIL036W,YIL038C,YIL130W,YIL131C,YIL149C,YIR013C,YIR017C,YIR018W,YIR023W,YJL081C,YJL103C,YJL105W,YJL110C,YJL168C,YJL176C,YJL206C,YJR119C,YJR127C,YJR147W,YKL038W,YKL109W,YKL185W,YKL189W,YKL222C,YKR023W,YKR029C,YKR034W,YKR064W,YKR099W,YLL002W,YLL054C,YLR013W,YLR014C,YLR098C,YLR228C,YLR256W,YLR266C,YLR278C,YLR330W,YLR399C,YLR451W,YML007W,YML010W,YML027W,YML076C,YML099C,YML127W,YMR021C,YMR127C,YMR136W,YMR168C,YMR263W,YMR280C,YNL021W,YNL059C,YNL068C,YNL097C,YNL167C,YNL216W,YNL330C,YNR063W,YOL004W,YOL028C,YOL051W,YOL089C,YOR028C,YOR032C,YOR038C,YOR064C,YOR140W,YOR141C,YOR162C,YOR172W,YOR213C,YOR229W,YOR230W,YOR244W,YOR290C,YOR304W,YOR337W,YOR344C,YOR380W,YPL021W,YPL116W,YPL127C,YPL129W,YPL133C,YPL138C,YPL139C,YPL177C,YPL248C,YPR008W,YPR009W,YPR023C,YPR056W,YPR068C,YPR072W,YPR104C,YPR186C,YPR196W"
"GO:0006356"	5	"regulation of transcription by RNA polymerase I"	"Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase I."	"YDR174W,YGL019W,YIL035C,YOR039W,YOR061W"
"GO:0006357"	177	"regulation of transcription by RNA polymerase II"	"Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."	"YAL013W,YAL021C,YAL034C,YBL021C,YBL054W,YBL066C,YBL093C,YBL103C,YBR049C,YBR066C,YBR081C,YBR083W,YBR103W,YBR111W-A,YBR135W,YBR150C,YBR172C,YBR193C,YBR253W,YBR279W,YBR297W,YCL066W,YCL067C,YCR033W,YCR039C,YCR040W,YCR052W,YCR065W,YCR081W,YCR084C,YCR093W,YCR096C,YDL048C,YDL106C,YDR043C,YDR066C,YDR146C,YDR176W,YDR190C,YDR213W,YDR216W,YDR223W,YDR253C,YDR295C,YDR308C,YDR443C,YDR448W,YDR451C,YDR460W,YDR463W,YER022W,YER040W,YER045C,YER051W,YER088C,YER130C,YER139C,YER164W,YFL021W,YFL024C,YFL028C,YGL025C,YGL066W,YGL073W,YGL096W,YGL115W,YGL127C,YGL131C,YGL151W,YGL166W,YGL181W,YGL237C,YGL244W,YGL252C,YGL254W,YGR067C,YGR071C,YGR104C,YGR200C,YGR249W,YHL009C,YHL020C,YHR006W,YHR041C,YHR058C,YHR206W,YIL036W,YIL131C,YIR017C,YJL006C,YJL056C,YJL081C,YJL103C,YJL110C,YJR060W,YJR094C,YJR127C,YJR147W,YKL110C,YKL222C,YKR034W,YKR036C,YLR005W,YLR010C,YLR013W,YLR033W,YLR071C,YLR098C,YLR131C,YLR176C,YLR223C,YLR226W,YLR228C,YLR256W,YLR375W,YLR384C,YML010W,YML027W,YML081W,YML127W,YMR033W,YMR070W,YMR075W,YMR112C,YMR136W,YMR168C,YMR179W,YMR277W,YMR312W,YNL025C,YNL068C,YNL103W,YNL107W,YNL136W,YNL167C,YNL222W,YNL330C,YNR010W,YNR023W,YNR063W,YOL012C,YOL051W,YOL135C,YOL148C,YOR028C,YOR047C,YOR113W,YOR140W,YOR172W,YOR174W,YOR213C,YOR244W,YOR337W,YOR338W,YOR358W,YOR380W,YPL016W,YPL038W,YPL047W,YPL082C,YPL086C,YPL101W,YPL128C,YPL129W,YPL230W,YPL235W,YPL254W,YPR022C,YPR023C,YPR025C,YPR030W,YPR031W,YPR034W,YPR070W,YPR133C,YPR168W,YPR186C"
"GO:0006359"	4	"regulation of transcription by RNA polymerase III"	"Any process that modulates the frequency, rate or extent of transcription mediated by RNA ploymerase III."	"YGL019W,YIL035C,YOR039W,YOR061W"
"GO:0006360"	21	"transcription by RNA polymerase I"	"The synthesis of RNA from a DNA template by RNA polymerase I (RNAP I), originating at an RNAP I promoter."	"YBL025W,YBR154C,YBR279W,YDL108W,YDR156W,YDR311W,YHR143W-A,YJL025W,YJL148W,YJR063W,YML121W,YNL113W,YNL248C,YOL145C,YOR210W,YOR224C,YOR340C,YOR341W,YPR010C,YPR110C,YPR187W"
"GO:0006361"	5	"transcription initiation from RNA polymerase I promoter"	"Any process involved in the assembly of the RNA polymerase I preinitiation complex (PIC) at an RNA polymerase I promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. Promoter clearance, or release, is the transition between the initiation and elongation phases of transcription."	"YBL014C,YKL125W,YML043C,YMR233W,YOR295W"
"GO:0006362"	6	"transcription elongation from RNA polymerase I promoter"	"The extension of an RNA molecule after transcription initiation and promoter clearance at an RNA polymerase I specific promoter by the addition of ribonucleotides catalyzed by RNA polymerase I."	"YBR279W,YGL043W,YJL148W,YLR418C,YNL248C,YOL145C"
"GO:0006363"	6	"termination of RNA polymerase I transcription"	"The process in which the synthesis of an RNA molecule by RNA polymerase I using a DNA template is completed. RNAP I termination requires binding of a terminator protein so specific sequences downstream of the transcription unit."	"YBR049C,YBR245C,YDR026C,YER164W,YJR063W,YLL035W"
"GO:0006364"	199	"rRNA processing"	"Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."	"YAL033W,YBL004W,YBL018C,YBL026W,YBR167C,YBR181C,YBR189W,YBR247C,YBR257W,YBR279W,YCL031C,YCL054W,YCL059C,YCR018C,YCR031C,YCR035C,YCR047C,YCR057C,YCR087C-A,YDL014W,YDL031W,YDL111C,YDL148C,YDL153C,YDL166C,YDL208W,YDL213C,YDL229W,YDR021W,YDR083W,YDR087C,YDR091C,YDR117C,YDR280W,YDR299W,YDR312W,YDR324C,YDR339C,YDR365C,YDR378C,YDR398W,YDR412W,YDR449C,YDR457W,YDR478W,YEL026W,YER002W,YER082C,YER112W,YER126C,YER127W,YER146W,YFL002C,YFL023W,YGL029W,YGL030W,YGL078C,YGL111W,YGL120C,YGL123W,YGL171W,YGL173C,YGL246C,YGR030C,YGR081C,YGR090W,YGR095C,YGR103W,YGR128C,YGR145W,YGR158C,YGR159C,YGR195W,YGR214W,YGR271C-A,YGR276C,YGR280C,YGR285C,YHL033C,YHR034C,YHR062C,YHR064C,YHR065C,YHR066W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR148W,YHR169W,YHR196W,YHR197W,YIL091C,YIL096C,YJL010C,YJL033W,YJL069C,YJL109C,YJL136C,YJL191W,YJR002W,YJR041C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL172W,YKL208W,YKR057W,YKR063C,YKR081C,YLL008W,YLL011W,YLL035W,YLL045C,YLR002C,YLR048W,YLR051C,YLR063W,YLR068W,YLR106C,YLR107W,YLR129W,YLR145W,YLR165C,YLR175W,YLR186W,YLR196W,YLR197W,YLR222C,YLR276C,YLR409C,YLR430W,YLR435W,YLR438C-A,YML093W,YML127W,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR285C,YMR290C,YNL022C,YNL061W,YNL075W,YNL096C,YNL110C,YNL112W,YNL124W,YNL132W,YNL147W,YNL182C,YNL209W,YNL221C,YNL224C,YNL227C,YNL232W,YNL282W,YNL308C,YNR024W,YNR038W,YNR054C,YOL021C,YOL022C,YOL041C,YOL077C,YOL080C,YOL142W,YOR001W,YOR004W,YOR006C,YOR048C,YOR056C,YOR063W,YOR078W,YOR096W,YOR201C,YOR243C,YOR272W,YOR287C,YOR310C,YPL012W,YPL043W,YPL081W,YPL082C,YPL090C,YPL093W,YPL126W,YPL143W,YPL146C,YPL235W,YPL266W,YPR016C,YPR112C,YPR144C"
"GO:0006366"	57	"transcription by RNA polymerase II"	"The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."	"YBR089C-A,YBR154C,YBR198C,YCR042C,YDL074C,YDL108W,YDL140C,YDR079C-A,YDR145W,YDR167W,YDR311W,YDR392W,YDR404C,YDR460W,YDR527W,YER139C,YER159C,YER171W,YGL058W,YGL070C,YGL112C,YGL127C,YGL150C,YGL151W,YGR005C,YGR056W,YGR258C,YHR143W-A,YIL021W,YIL143C,YJL140W,YKL028W,YKR008W,YKR062W,YLR005W,YLR357W,YML015C,YML098W,YML114C,YMR005W,YMR030W,YMR227C,YMR236W,YNL135C,YOL005C,YOR151C,YOR174W,YOR194C,YOR210W,YOR224C,YPL011C,YPL122C,YPL129W,YPL254W,YPR025C,YPR056W,YPR187W"
"GO:0006367"	22	"transcription initiation from RNA polymerase II promoter"	"Any process involved in the assembly of the RNA polymerase II preinitiation complex (PIC) at an RNA polymerase II promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. Promoter clearance, or release, is the transition between the initiation and elongation phases of transcription."	"YBR198C,YCR042C,YDR079C-A,YDR167W,YDR404C,YER022W,YGL043W,YGL070C,YGR005C,YGR186W,YIL143C,YJL140W,YKL028W,YKL058W,YKR062W,YML015C,YMR005W,YMR227C,YNL222W,YOR194C,YPL129W,YPR086W"
"GO:0006368"	53	"transcription elongation from RNA polymerase II promoter"	"The extension of an RNA molecule after transcription initiation and promoter clearance at an RNA polymerase II promoter by the addition of ribonucleotides catalyzed by RNA polymerase II."	"YAL021C,YBL008W,YBR111W-A,YBR215W,YBR279W,YCR020W-B,YCR093W,YDL084W,YDL165W,YDR138W,YDR303C,YER164W,YFR037C,YGL043W,YGL207W,YGL244W,YGR005C,YGR056W,YGR116W,YGR186W,YGR275W,YHR056C,YHR167W,YIL126W,YJR140C,YKL160W,YKR008W,YLR033W,YLR274W,YLR321C,YLR357W,YLR418C,YML010W,YML062C,YML127W,YMR033W,YMR075W,YMR091C,YNL139C,YNL206C,YNL222W,YNL230C,YNL330C,YNR052C,YOL006C,YOL072W,YOL145C,YOR123C,YOR344C,YPR023C,YPR034W,YPR072W,YPR161C"
"GO:0006369"	16	"termination of RNA polymerase II transcription"	"The process in which the synthesis of an RNA molecule by RNA polymerase II using a DNA template is completed."	"YBR049C,YBR245C,YDR228C,YDR301W,YER164W,YGR104C,YIL021W,YIL131C,YJR017C,YLR277C,YLR430W,YMR039C,YMR239C,YNL222W,YOL005C,YOR304W"
"GO:0006370"	8	"7-methylguanosine mRNA capping"	"Addition of the 7-methylguanosine cap to the 5' end of a nascent messenger RNA transcript."	"YBR160W,YBR236C,YDL108W,YGL130W,YGR063C,YMR125W,YMR180C,YPL228W"
"GO:0006376"	3	"mRNA splice site selection"	"Selection of a splice site by components of the assembling spliceosome."	"YDL087C,YHR086W,YMR216C"
"GO:0006378"	19	"mRNA polyadenylation"	"The enzymatic addition of a sequence of 40-200 adenylyl residues at the 3' end of a eukaryotic mRNA primary transcript."	"YAL043C,YDR228C,YDR301W,YER032W,YGL044C,YGL122C,YGR156W,YJR093C,YJR141W,YKL059C,YKR002W,YLR115W,YLR277C,YLR430W,YNL222W,YNL317W,YOL123W,YOR250C,YPR107C"
"GO:0006383"	16	"transcription by RNA polymerase III"	"The synthesis of RNA from a DNA template by RNA polymerase III, originating at an RNAP III promoter."	"YAL001C,YBR123C,YBR154C,YDR362C,YGL043W,YGR047C,YGR246C,YHR143W-A,YML121W,YNL151C,YNR003C,YOR110W,YOR210W,YOR224C,YPL007C,YPR187W"
"GO:0006384"	5	"transcription initiation from RNA polymerase III promoter"	"Any process involved in the assembly of the RNA polymerase III preinitiation complex (PIC) at an RNA polymerase III promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. Promoter clearance, or release, is the transition between the initiation and elongation phases of transcription."	"YAL001C,YBR123C,YJL011C,YKL144C,YNL151C"
"GO:0006386"	1	"termination of RNA polymerase III transcription"	"The process in which transcription by RNA polymerase III is terminated; Pol III has an intrinsic ability to terminate transcription upon incorporation of 4 to 6 contiguous U residues."	"YDR045C"
"GO:0006388"	8	"tRNA splicing, via endonucleolytic cleavage and ligation"	"Splicing of tRNA substrates via recognition of the folded RNA structure that brings the 5' and 3' splice sites into proximity and cleavage of the RNA at both the 3' and 5' splice sites by an endonucleolytic mechanism, followed by ligation of the exons."	"YBR022W,YDL006W,YJL087C,YLR105C,YMR059W,YMR087W,YOL102C,YOR250C"
"GO:0006390"	2	"mitochondrial transcription"	"The synthesis of RNA from a mitochondrial DNA template, usually by a specific mitochondrial RNA polymerase."	"YFL036W,YMR030W"
"GO:0006391"	1	"transcription initiation from mitochondrial promoter"	"A transcription initiation process that takes place at a promoter on the mitochondrial chromosome, and results in RNA synthesis by a mitochondrial RNA polymerase."	"YMR228W"
"GO:0006392"	1	"transcription elongation from mitochondrial promoter"	"The extension of an RNA molecule after transcription initiation and promoter clearance at mitochondrial promoter by the addition of ribonucleotides catalyzed by a mitchondrial RNA polymerase."	"YDR194C"
"GO:0006396"	42	"RNA processing"	"Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."	"YBR055C,YBR167C,YBR257W,YDL051W,YDL112W,YDR235W,YDR280W,YDR416W,YDR449C,YDR478W,YER013W,YER112W,YER168C,YGL120C,YGL243W,YGR074W,YIR015W,YJL203W,YKL078W,YKR056W,YKR086W,YLL035W,YLR051C,YLR117C,YLR147C,YLR312W-A,YLR419W,YML046W,YML091C,YMR024W,YMR061W,YMR128W,YMR229C,YMR239C,YNL061W,YNL232W,YNL292W,YNR011C,YOL010W,YOR001W,YOR201C,YOR250C"
"GO:0006397"	164	"mRNA processing"	"Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."	"Q0050,Q0055,Q0060,Q0065,Q0070,Q0110,Q0115,Q0120,Q0160,YAL032C,YBL026W,YBL074C,YBR055C,YBR065C,YBR119W,YBR120C,YBR152W,YBR188C,YBR236C,YCR063W,YCR077C,YDL030W,YDL044C,YDL084W,YDL087C,YDL098C,YDL160C,YDL207W,YDL209C,YDR088C,YDR194C,YDR195W,YDR228C,YDR235W,YDR240C,YDR243C,YDR301W,YDR364C,YDR378C,YDR416W,YDR473C,YDR478W,YDR482C,YEL026W,YER013W,YER029C,YER032W,YER035W,YER112W,YER133W,YER146W,YER165W,YER172C,YFL017W-A,YFR005C,YGL044C,YGL174W,YGL246C,YGR006W,YGR013W,YGR063C,YGR074W,YGR093W,YGR129W,YGR150C,YGR156W,YGR222W,YHL038C,YHR079C,YHR165C,YIR005W,YIR009W,YIR021W,YJL050W,YJL124C,YJL133W,YJL140W,YJL203W,YJL209W,YJR050W,YJR093C,YKL012W,YKL018W,YKL025C,YKL059C,YKL074C,YKL095W,YKL139W,YKL149C,YKL173W,YKL208W,YKR002W,YKR022C,YKR052C,YKR086W,YLL036C,YLR016C,YLR115W,YLR116W,YLR117C,YLR147C,YLR203C,YLR204W,YLR275W,YLR277C,YLR323C,YLR401C,YLR405W,YLR424W,YLR430W,YLR438C-A,YML010W,YML046W,YML049C,YML062C,YML080W,YML091C,YMR061W,YMR125W,YMR180C,YMR213W,YMR240C,YMR268C,YMR288W,YMR302C,YNL118C,YNL138W-A,YNL147W,YNL187W,YNL222W,YNL224C,YNL232W,YNL245C,YNL286W,YNL317W,YNR011C,YNR015W,YOL021C,YOL123W,YOL149W,YOR048C,YOR148C,YOR159C,YOR179C,YOR243C,YOR250C,YOR308C,YOR319W,YPL005W,YPL064C,YPL151C,YPL178W,YPL212C,YPL213W,YPL228W,YPR057W,YPR082C,YPR094W,YPR101W,YPR107C,YPR134W,YPR152C,YPR178W,YPR182W"
"GO:0006399"	1	"tRNA metabolic process"	"The chemical reactions and pathways involving tRNA, transfer RNA, a class of relatively small RNA molecules responsible for mediating the insertion of amino acids into the sequence of nascent polypeptide chains during protein synthesis. Transfer RNA is characterized by the presence of many unusual minor bases, the function of which has not been completely established."	"YDL219W"
"GO:0006400"	24	"tRNA modification"	"The covalent alteration of one or more nucleotides within a tRNA molecule to produce a tRNA molecule with a sequence that differs from that coded genetically."	"YDL104C,YDL175C,YDL201W,YDR165W,YGL232W,YGL243W,YGR024C,YHR070W,YHR187W,YJL035C,YKL110C,YKR038C,YKR056W,YLR316C,YLR401C,YLR405W,YML005W,YML080W,YMR023C,YNL292W,YNR015W,YOL115W,YOR274W,YOR335C"
"GO:0006401"	10	"RNA catabolic process"	"The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."	"YDR279W,YJL050W,YJL208C,YKL149C,YLR154C,YLR398C,YMR234W,YPL029W,YPL123C,YPR189W"
"GO:0006402"	6	"mRNA catabolic process"	"The chemical reactions and pathways resulting in the breakdown of mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."	"YDR293C,YKL204W,YMR287C,YNL118C,YNL288W,YNR052C"
"GO:0006403"	1	"RNA localization"	"A process in which RNA is transported to, or maintained in, a specific location."	"YOR160W"
"GO:0006404"	2	"RNA import into nucleus"	"The import of RNA from the cytoplasm to the nucleus."	"YMR235C,YOR160W"
"GO:0006405"	12	"RNA export from nucleus"	"The directed movement of RNA from the nucleus to the cytoplasm."	"YBL079W,YDR002W,YDR335W,YER105C,YER107C,YGL092W,YGL172W,YJL041W,YKL068W,YML103C,YMR047C,YOR098C"
"GO:0006406"	31	"mRNA export from nucleus"	"The directed movement of mRNA from the nucleus to the cytoplasm."	"YBR034C,YBR111W-A,YDL084W,YDL116W,YDL207W,YDR138W,YDR159W,YDR363W-A,YDR381W,YDR395W,YGL066W,YGR218W,YHR167W,YIL149C,YIR005W,YJL061W,YJR042W,YKL057C,YKL068W,YKR095W,YLR016C,YML062C,YMR047C,YMR255W,YMR273C,YMR308C,YNL139C,YNL253W,YOL072W,YOR046C,YPL169C"
"GO:0006407"	18	"rRNA export from nucleus"	"The directed movement of rRNA from the nucleus to the cytoplasm; the rRNA is usually in the form of ribonucleoproteins."	"YDR450W,YER131W,YGL097W,YGL123W,YGL189C,YGR214W,YJR123W,YLR048W,YLR264W,YML026C,YMR230W,YMR235C,YNL178W,YNL302C,YOL040C,YOL121C,YOR167C,YOR293W"
"GO:0006409"	19	"tRNA export from nucleus"	"The directed movement of tRNA from the nucleus to the cytoplasm."	"YBR118W,YCR073W-A,YDL207W,YGL092W,YGL172W,YGR090W,YGR128C,YGR218W,YJL041W,YKL186C,YKL205W,YKR082W,YMR047C,YMR235C,YNR034W,YOR046C,YOR112W,YPL169C,YPR080W"
"GO:0006412"	254	"translation"	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."	"Q0140,YAL003W,YAL035W,YBL013W,YBL027W,YBL038W,YBL072C,YBL076C,YBL080C,YBL087C,YBL090W,YBL092W,YBR031W,YBR048W,YBR079C,YBR084C-A,YBR118W,YBR121C,YBR143C,YBR146W,YBR181C,YBR189W,YBR251W,YBR282W,YCR003W,YCR024C,YCR031C,YCR046C,YCR071C,YDL061C,YDL075W,YDL083C,YDL133C-A,YDL136W,YDL184C,YDL191W,YDL202W,YDL229W,YDR023W,YDR025W,YDR037W,YDR041W,YDR064W,YDR091C,YDR115W,YDR116C,YDR172W,YDR211W,YDR237W,YDR268W,YDR283C,YDR337W,YDR341C,YDR385W,YDR405W,YDR418W,YDR429C,YDR447C,YDR450W,YDR471W,YDR500C,YEL034W,YEL050C,YEL054C,YER007C-A,YER025W,YER050C,YER074W,YER087W,YER102W,YER117W,YER131W,YFL022C,YFR031C-A,YFR032C-A,YGL049C,YGL068W,YGL103W,YGL123W,YGL135W,YGL143C,YGL147C,YGL189C,YGL245W,YGR034W,YGR054W,YGR083C,YGR085C,YGR094W,YGR102C,YGR118W,YGR162W,YGR171C,YGR185C,YGR214W,YGR220C,YGR264C,YHL004W,YHL015W,YHR010W,YHR011W,YHR019C,YHR020W,YHR021C,YHR038W,YHR091C,YHR141C,YHR147C,YHR168W,YHR203C,YIL018W,YIL052C,YIL069C,YIL078W,YIL133C,YIL148W,YJL063C,YJL102W,YJL136C,YJL138C,YJL177W,YJL189W,YJL190C,YJL191W,YJR007W,YJR047C,YJR094W-A,YJR113C,YJR123W,YJR145C,YKL003C,YKL006W,YKL056C,YKL081W,YKL139W,YKL155C,YKL156W,YKL170W,YKL180W,YKL194C,YKR026C,YKR057W,YKR059W,YKR084C,YKR094C,YLL018C,YLR029C,YLR048W,YLR060W,YLR061W,YLR069C,YLR139C,YLR167W,YLR192C,YLR249W,YLR262C-A,YLR264W,YLR287C-A,YLR289W,YLR291C,YLR325C,YLR344W,YLR367W,YLR382C,YLR388W,YLR406C,YLR439W,YLR441C,YLR448W,YML009C,YML024W,YML026C,YML063W,YML073C,YMR142C,YMR143W,YMR146C,YMR158W,YMR188C,YMR194W,YMR242C,YMR260C,YMR286W,YMR293C,YMR309C,YNL001W,YNL005C,YNL014W,YNL040W,YNL069C,YNL073W,YNL096C,YNL162W,YNL177C,YNL178W,YNL185C,YNL209W,YNL244C,YNL247W,YNL284C,YNL301C,YNL302C,YNL306W,YNR036C,YOL023W,YOL033W,YOL040C,YOL097C,YOL120C,YOL121C,YOL127W,YOL139C,YOR063W,YOR076C,YOR096W,YOR133W,YOR150W,YOR167C,YOR168W,YOR182C,YOR187W,YOR204W,YOR234C,YOR260W,YOR276W,YOR312C,YOR335C,YOR361C,YPL009C,YPL048W,YPL079W,YPL081W,YPL090C,YPL104W,YPL119C,YPL131W,YPL143W,YPL160W,YPL173W,YPL183W-A,YPL220W,YPL237W,YPL249C-A,YPR016C,YPR033C,YPR041W,YPR043W,YPR047W,YPR080W,YPR081C,YPR102C,YPR132W,YPR163C,YPR166C"
